employee_id,name,age,gender,department,jobrole,education,maritalstatus,monthlyincome,yearsatcompany,overtime,performancerating,attrition,dateofhire,dateofexit
4162,Rebecca Rivera,24.0,Male,Sales,Technician,Phd,Divorced,13472.0,1,No,4,Yes,2022-12-05,
6435,Robert Nielsen,35.0,Male,It,Manager,High School,Divorced,3399.0,3,Yes,2,No,,
5644,Karen Wilson,54.0,Female,R&D,Engineer,High School,Divorced,10595.0,3,No,4,No,,
8047,Kristen Davis,47.0,Female,Hr,Engineer,Phd,Married,3271.0,6,Yes,1,Yes,2020-09-07,
5435,Michael Wong,51.0,Male,It,Manager,Master,Single,4824.0,2,Yes,1,No,,
9449,Melvin Melendez,50.0,Female,It,Analyst,Bachelor,Single,9209.0,9,Yes,5,Yes,,2031-10-22
8336,Jamie Dudley,53.0,Female,Finance,Technician,Master,Married,7537.0,8,No,5,Yes,,
5966,Kevin Stone,30.0,Male,Hr,Analyst,High School,Married,14017.0,3,Yes,3,Yes,,
2103,Mary Boyd,59.0,Female,Finance,Manager,High School,Single,4355.0,5,No,2,No,,
8322,Jessica Travis,42.0,Male,R&D,Technician,High School,Single,12840.0,0,Yes,4,No,,
7975,Joshua Ruiz,50.0,Female,Hr,Engineer,Bachelor,Divorced,9739.0,11,Yes,5,No,,
2134,Elizabeth Lewis,39.0,Male,It,Technician,Master,Divorced,13254.0,7,No,4,No,2016-02-10,2023-10-02
5332,Jessica Cantu,52.0,Female,R&D,Technician,Phd,Single,3806.0,6,Yes,4,No,2022-08-03,
1829,Lori Lee,29.0,Male,Hr,Consultant,Phd,Single,6634.0,7,No,2,No,,
6099,Nancy Todd,27.0,Male,Hr,Engineer,High School,Married,8795.0,8,Yes,1,No,,
9581,Lindsey Scott,35.0,Female,Finance,Manager,Master,Divorced,7306.0,9,No,4,No,,
3538,Frank Sullivan,24.0,Male,It,Technician,Bachelor,Divorced,9569.0,3,Yes,3,No,,
8129,Allen Daniels,22.0,Male,It,Executive,Bachelor,Married,13663.0,8,No,4,Yes,2019-08-06,
5013,Brett Moses,33.0,Female,Sales,Analyst,High School,Married,7990.0,0,No,2,No,,
4413,Ms. Emily Ford,38.0,Female,Hr,Technician,Phd,Single,5091.0,5,Yes,3,No,,
5642,Gabrielle Lamb,33.0,Male,Sales,Engineer,Phd,Married,14490.0,7,No,5,No,,2020-01-16
3269,Jennifer Vincent,37.0,Male,Hr,Consultant,Phd,Married,4903.0,14,No,3,Yes,,
1631,John Hanson,59.0,Male,R&D,Engineer,High School,Single,4869.0,11,No,5,No,2022-03-01,
3074,Christine Morales,44.0,Female,Sales,Technician,Master,Single,6759.0,1,No,4,No,,
3529,Rachel Davidson,55.0,Female,It,Analyst,Phd,Single,8814.0,12,Yes,2,No,,
7707,Richard Bishop,56.0,Male,Sales,Manager,Master,Single,13714.0,1,Yes,3,Yes,,2016-10-21
2329,Victoria Smith,39.0,Female,R&D,Manager,High School,Divorced,6054.0,5,No,5,No,,
1027,Kristopher Miller,59.0,Male,It,Consultant,Phd,Divorced,10568.0,12,No,1,Yes,,
9569,Jeffrey Alvarez,53.0,Female,It,Consultant,High School,Divorced,3796.0,12,Yes,2,Yes,,
9902,Melissa Roman,28.0,Male,It,Technician,Phd,Single,6520.0,2,No,1,No,,
6846,Paul Mendoza,45.0,Female,It,Executive,Master,Single,3002.0,4,Yes,5,No,,
2582,David Jensen,46.0,Female,R&D,Technician,Phd,Single,7284.0,10,No,3,Yes,,
8004,Jessica Joseph,42.0,Female,R&D,Engineer,Master,Single,7945.0,10,Yes,5,Yes,,2026-12-19
4970,John Moreno,59.0,Female,Finance,Executive,High School,Married,8685.0,12,Yes,3,No,2024-02-02,
6538,Crystal Dunn,30.0,Female,Finance,Analyst,Master,Single,5308.0,10,Yes,2,No,,2024-11-26
3891,Jessica Moreno,38.0,Male,R&D,Manager,Phd,Divorced,3624.0,5,Yes,2,Yes,,
9003,Heather Fitzgerald,53.0,Female,Sales,Engineer,Bachelor,Divorced,10958.0,10,Yes,1,Yes,,
7857,Kathleen Henderson,30.0,Female,Hr,Engineer,Phd,Married,4511.0,14,Yes,5,No,,
1647,Adam Bowers,54.0,Male,Sales,Engineer,Phd,Single,12878.0,0,No,3,No,2021-04-03,
2476,Benjamin Wright,41.0,Female,Hr,Technician,Bachelor,Married,7416.0,12,Yes,4,No,,
1819,Alejandra Salas,45.0,Female,It,Analyst,Phd,Divorced,13359.0,2,No,3,Yes,,
6631,Sarah Mccall,43.0,Male,It,Analyst,High School,Married,2661.0,13,No,2,Yes,,
1814,Daniel Harding,39.0,Female,It,Analyst,Phd,Single,5100.0,5,No,1,No,,
6757,Jennifer Brown,43.0,Female,Sales,Engineer,High School,Single,9405.0,5,No,5,Yes,,
8438,Jonathan West,45.0,Female,Finance,Analyst,High School,Divorced,11870.0,3,No,5,Yes,,
1118,William Clark PhD,23.0,Female,Hr,Executive,Master,Divorced,14598.0,7,No,3,No,,2027-08-28
6509,Patrick Pope,28.0,Male,It,Engineer,Master,Divorced,13491.0,4,Yes,2,No,,
7348,Daniel Johnson,21.0,Male,It,Analyst,Master,Divorced,2594.0,12,No,3,No,,
3972,George Lucas,57.0,Male,Hr,Engineer,Master,Married,13244.0,0,No,4,No,,
9544,Carolyn Carter,20.0,Female,Sales,Analyst,Bachelor,Married,6551.0,5,No,2,Yes,2021-01-11,2026-11-01
4487,Karen Hunt,28.0,Female,Sales,Manager,Master,Divorced,9583.0,13,Yes,3,Yes,,
8384,Jennifer Kelly,30.0,Female,R&D,Technician,High School,Married,14563.0,3,No,5,Yes,2022-05-04,
4740,Erin Medina,42.0,Male,It,Executive,Phd,Divorced,11331.0,6,Yes,3,Yes,,
9763,Christina Harris,52.0,Male,Finance,Consultant,Phd,Divorced,9845.0,8,Yes,4,No,,
3181,Bryce Riley,39.0,Male,R&D,Technician,Phd,Married,8308.0,2,No,3,Yes,,2019-06-10
5551,Mark Estrada,59.0,Female,Hr,Executive,Bachelor,Married,10055.0,3,No,2,Yes,,
1026,Stacey Barnett,55.0,Female,Finance,Executive,Phd,Divorced,10852.0,12,Yes,3,No,,
9860,Mrs. Andrea Watkins,39.0,Male,Finance,Consultant,Master,Divorced,8406.0,14,No,1,Yes,,2038-07-23
4326,James Diaz,32.0,Male,It,Analyst,Bachelor,Married,8910.0,12,Yes,4,Yes,,2025-11-16
7022,Joshua Drake,38.0,Female,Sales,Analyst,Bachelor,Single,4724.0,12,Yes,1,Yes,,
8797,Amber Butler,21.0,Male,R&D,Analyst,Phd,Married,9145.0,14,Yes,1,No,,
7960,Lindsey Bailey,34.0,Female,Hr,Consultant,Phd,Single,6080.0,7,No,2,Yes,,
2752,Jennifer Price,53.0,Female,R&D,Executive,Bachelor,Single,8683.0,7,Yes,4,No,,
5173,Victoria Myers,24.0,Male,Sales,Analyst,High School,Single,4532.0,12,Yes,2,No,2014-12-12,
4758,Kristin Silva,37.0,Male,It,Analyst,Bachelor,Divorced,9373.0,12,No,2,No,,
7278,Jessica Rose,22.0,Female,R&D,Engineer,High School,Divorced,6056.0,14,Yes,5,No,2012-09-03,
4267,Robert Wang,52.0,Male,Sales,Technician,Bachelor,Married,5827.0,6,Yes,3,No,,
9297,Justin Benton,30.0,Female,Hr,Analyst,High School,Married,6288.0,7,Yes,4,Yes,2020-09-08,2027-08-09
9650,Darius Meyer,35.0,Male,Finance,Consultant,High School,Married,8772.0,9,No,3,Yes,,
2753,Jesus Mcdaniel,56.0,Female,Finance,Consultant,High School,Single,8813.0,4,No,2,No,,
6519,Daniel Anderson,37.0,Female,Unknown,Manager,Bachelor,Divorced,8814.0,11,Yes,5,Yes,,
1546,Cynthia Pham,54.0,Female,R&D,Manager,Phd,Single,4413.0,8,Yes,1,No,,
9853,Jordan Smith,37.0,Male,Sales,Manager,Master,Married,7339.0,11,No,1,Yes,,
1428,Katelyn Hodge,35.0,Male,It,Manager,Bachelor,Divorced,14450.0,11,No,4,Yes,,
5054,Robert Bennett,21.0,Female,R&D,Analyst,Master,Divorced,8814.0,4,No,2,Yes,,
5116,James Mcbride,53.0,Male,Sales,Manager,Phd,Married,8960.0,11,No,1,No,,
5670,Jenny Johnson,50.0,Male,Finance,Analyst,High School,Divorced,5966.0,14,Yes,3,Yes,2017-11-07,
2737,Nicole Garcia,21.0,Male,R&D,Analyst,Master,Married,13113.0,7,No,4,No,,
3837,Diana Reynolds,45.0,Male,Unknown,Analyst,Phd,Married,3417.0,3,Yes,3,Yes,2019-03-04,2022-04-03
6455,Kimberly Woods,52.0,Male,Sales,Manager,Bachelor,Single,8814.0,5,Yes,2,Yes,,
2337,Patricia Miller,41.0,Male,Sales,Analyst,Bachelor,Single,5041.0,8,No,5,No,2024-07-12,
8931,Gregory Garcia,28.0,Male,R&D,Manager,High School,Divorced,10013.0,9,No,1,Yes,,2023-11-21
7439,Justin Martinez,47.0,Female,It,Manager,Phd,Divorced,11980.0,6,Yes,4,Yes,,2031-04-16
3346,Ryan Dougherty,21.0,Male,Hr,Engineer,Phd,Single,11777.0,13,No,3,No,2013-02-04,
4029,Kelly Johnson,43.0,Female,Finance,Analyst,High School,Single,2942.0,7,No,1,No,,2032-02-06
2091,Justin Mercer,55.0,Male,Sales,Engineer,Bachelor,Married,6275.0,4,Yes,1,Yes,,
6449,Aaron Long,58.0,Male,It,Manager,Master,Divorced,4088.0,12,No,4,No,2016-11-09,
4085,Francisco Maxwell,31.0,Female,Finance,Engineer,Bachelor,Single,11270.0,5,Yes,1,No,,
1756,Angela Davis,52.0,Male,Finance,Manager,Phd,Single,11208.0,5,Yes,2,Yes,,2027-04-03
5696,Lisa Frederick,40.0,Male,Finance,Analyst,Bachelor,Single,7890.0,6,Yes,5,Yes,,
7786,Jessica Smith,25.0,Male,It,Executive,Phd,Married,11631.0,11,No,4,No,,
9454,Cynthia Smith,42.0,Female,R&D,Engineer,Phd,Married,8539.0,2,No,2,No,,
3233,Caroline Peters,37.0,Male,Finance,Manager,High School,Single,9670.0,3,No,4,No,,
1241,Sherry Powers,40.0,Male,Sales,Executive,High School,Divorced,14444.0,11,No,1,No,2016-09-11,2027-11-09
8588,Andrew Reed,27.0,Male,It,Engineer,Phd,Single,8085.0,6,No,2,No,,
1126,Anthony Warner,33.0,Male,R&D,Engineer,Master,Divorced,3880.0,3,No,3,Yes,,
9364,Anthony Foster,57.0,Female,Finance,Engineer,High School,Divorced,11577.0,6,No,5,No,,
8887,Alexis Mckenzie,45.0,Male,Finance,Analyst,Master,Divorced,12302.0,5,No,1,Yes,,
2816,Denise Willis,22.0,Male,Sales,Manager,High School,Single,14611.0,5,No,4,No,,
5283,Linda Valencia,20.0,Male,R&D,Technician,Master,Married,3572.0,10,No,5,No,,
4532,David Cooper,26.0,Male,Hr,Executive,Bachelor,Divorced,12451.0,7,No,2,No,,
9108,Jordan Boyle,52.0,Female,Unknown,Analyst,Master,Single,10625.0,10,Yes,5,No,,
6746,Christina Stevens,45.0,Male,Sales,Consultant,High School,Single,11783.0,3,No,1,No,,
3084,Jon Nelson MD,22.0,Female,Hr,Consultant,Bachelor,Divorced,5203.0,0,No,1,No,,
1096,Victor Randolph,28.0,Male,It,Engineer,Phd,Married,12087.0,12,Yes,5,No,2024-03-07,
8883,Meghan Oconnor,47.0,Male,It,Manager,Phd,Married,3270.0,6,Yes,3,No,2022-11-05,
2324,Nancy Bates,55.0,Male,It,Engineer,Master,Single,6902.0,6,No,5,Yes,,
8198,Donald Smith,23.0,Female,Unknown,Analyst,Bachelor,Single,13627.0,3,No,3,Yes,,
5363,Tammy Hill,59.0,Male,Hr,Engineer,High School,Married,12843.0,4,No,1,Yes,2021-08-10,2025-10-08
1488,Travis Morton,41.0,Male,R&D,Executive,Bachelor,Single,10845.0,5,No,2,Yes,,
6580,Emily Dominguez,40.0,Male,R&D,Consultant,Bachelor,Married,8742.0,10,No,5,No,,
6768,Justin Jackson,58.0,Male,R&D,Engineer,Bachelor,Single,5656.0,6,Yes,2,No,,
5721,Rebecca Johnson,41.0,Female,It,Executive,Master,Married,10600.0,5,No,2,Yes,,
5730,Michele Taylor,54.0,Male,Sales,Executive,Bachelor,Divorced,10004.0,10,Yes,3,No,,
1148,Nicole Duncan,49.0,Female,Hr,Technician,Master,Divorced,2648.0,0,No,4,No,,
8926,Tyler Carr,21.0,Male,It,Engineer,Bachelor,Divorced,7679.0,12,No,4,No,,
9691,Debbie Mora,29.0,Male,Sales,Executive,Master,Married,14163.0,7,No,3,No,,
3679,Trevor Adams,55.0,Male,R&D,Consultant,Bachelor,Single,12366.0,14,Yes,1,Yes,,
2867,Sarah Payne,39.0,Male,It,Manager,Bachelor,Married,9493.0,14,No,4,Yes,,
5489,Aaron Smith,24.0,Female,Sales,Engineer,High School,Divorced,11464.0,10,Yes,1,No,,2024-05-29
6691,Jordan Coleman,59.0,Female,R&D,Technician,High School,Divorced,13289.0,9,Yes,2,No,,
8556,Kayla Morris,40.0,Male,Hr,Manager,High School,Single,10991.0,14,Yes,5,Yes,2023-06-01,
2996,Erin Snyder,46.0,Male,Hr,Executive,Bachelor,Single,3877.0,10,No,5,No,,
5999,Kendra Hunter,32.0,Female,Sales,Manager,Bachelor,Single,11234.0,11,Yes,4,No,,
7274,Michelle Haynes,34.0,Male,Hr,Executive,Phd,Divorced,12241.0,6,Yes,3,No,,
8975,Zachary Rice,48.0,Male,Sales,Analyst,High School,Divorced,12695.0,12,Yes,5,No,,
9833,Katie Weaver,42.0,Female,Finance,Executive,Bachelor,Single,11565.0,3,No,3,Yes,,
3754,Francisco Hensley,39.0,Male,Hr,Consultant,Bachelor,Married,13012.0,8,Yes,5,Yes,2013-12-02,
7177,David Adkins,32.0,Male,Finance,Consultant,Master,Divorced,10602.0,10,No,2,Yes,,
2628,Roger Clark,59.0,Male,Hr,Analyst,Bachelor,Married,9204.0,12,No,4,No,,
1893,Susan Sheppard,58.0,Female,R&D,Consultant,Master,Married,13584.0,3,Yes,2,Yes,,
6256,Kevin Rivera,37.0,Female,Unknown,Consultant,Phd,Single,8814.0,9,Yes,2,No,,
4798,Gregory Hansen,25.0,Male,R&D,Technician,Bachelor,Divorced,14031.0,3,Yes,2,Yes,,2023-08-31
6703,Christopher Williams,31.0,Female,Sales,Manager,Phd,Married,8814.0,13,No,3,No,,
8061,Anthony Jacobson,36.0,Female,Hr,Technician,Phd,Single,4680.0,13,No,2,No,,
9774,James Lopez,37.0,Male,It,Analyst,Master,Single,4878.0,5,Yes,2,No,,
9760,Leslie Hunt,38.0,Female,Sales,Technician,Master,Divorced,3949.0,10,Yes,4,Yes,,
6925,Ricardo Shepard,27.0,Male,Finance,Engineer,High School,Single,9897.0,4,Yes,2,Yes,,2017-10-23
5350,Tony Medina,29.0,Male,It,Consultant,Phd,Single,8741.0,2,Yes,3,Yes,,
5449,Amanda Johnson,52.0,Female,Hr,Engineer,Bachelor,Single,2554.0,1,Yes,4,Yes,,
4692,John Miller,32.0,Female,Finance,Engineer,Bachelor,Divorced,14448.0,13,No,2,No,,
8471,Stephen Coffey,55.0,Female,It,Analyst,Phd,Single,4136.0,9,No,1,No,,
1074,Justin Jones,58.0,Male,Finance,Executive,Phd,Divorced,12162.0,12,Yes,1,No,,
5070,Thomas Garcia,36.0,Female,R&D,Manager,Master,Divorced,7949.0,7,Yes,1,Yes,,
3268,James Figueroa,55.0,Female,Hr,Technician,Phd,Married,12489.0,1,Yes,3,No,,
8419,Alexandra Bass,40.0,Male,It,Consultant,Phd,Divorced,13216.0,11,No,1,No,,
6789,Denise Lynch,29.0,Female,Sales,Engineer,High School,Divorced,13117.0,14,Yes,2,Yes,,
2507,Joseph Williams,26.0,Male,Finance,Engineer,Master,Married,3718.0,7,Yes,2,No,,
1975,Mikayla Adams,22.0,Female,Sales,Manager,High School,Divorced,7373.0,6,Yes,1,No,,
4495,Joshua Miranda,32.0,Male,It,Technician,Phd,Divorced,10358.0,11,Yes,5,No,2023-12-10,
9126,Dominic White,49.0,Male,Finance,Manager,High School,Married,13935.0,5,Yes,5,Yes,,2028-05-29
3227,Sean Banks,28.0,Male,R&D,Executive,Master,Single,4494.0,0,Yes,1,Yes,2016-02-01,
3284,Caitlin Lester,51.0,Female,Sales,Engineer,Bachelor,Married,3995.0,14,No,3,No,,2032-03-04
1416,Tricia Jones,43.0,Male,It,Analyst,Bachelor,Single,9126.0,14,Yes,4,No,,
6291,Travis Brown,59.0,Male,Sales,Manager,Bachelor,Divorced,9471.0,14,Yes,4,No,2020-08-10,
9773,Charles Pennington,23.0,Female,Finance,Analyst,Phd,Divorced,2686.0,6,No,5,No,2024-04-03,
6811,Jacob Scott,28.0,Female,It,Technician,Phd,Divorced,4363.0,14,Yes,1,No,,
7802,Candice Hudson,56.0,Male,It,Technician,Master,Divorced,9222.0,8,No,5,Yes,,
8211,Heather Spencer,57.0,Female,Sales,Analyst,Bachelor,Single,5235.0,0,Yes,4,No,,
8991,Jessica Smith,40.0,Female,R&D,Engineer,High School,Divorced,10258.0,4,Yes,1,No,,2022-11-19
6644,Nicole Nguyen,53.0,Male,It,Technician,Master,Divorced,11214.0,11,No,3,No,,
3901,Olivia Mitchell,43.0,Male,Sales,Manager,Bachelor,Divorced,14685.0,4,Yes,5,Yes,2020-12-01,
1005,Erika Barnes,40.0,Female,Sales,Manager,Master,Married,9745.0,0,No,5,Yes,,
6380,James Barrera,41.0,Male,Hr,Executive,Master,Divorced,11217.0,14,No,5,Yes,,
4353,Victor Johnson,50.0,Female,Sales,Executive,Bachelor,Married,7610.0,2,Yes,2,No,,
4733,Teresa Miller,44.0,Female,R&D,Manager,High School,Divorced,10290.0,1,No,5,No,,
7389,William Parker,25.0,Female,Finance,Manager,High School,Married,3376.0,3,No,2,Yes,,
7692,Jonathan Hamilton,47.0,Female,It,Executive,Phd,Single,12513.0,11,Yes,2,Yes,,2032-05-31
1648,James Martinez,47.0,Female,Finance,Consultant,Phd,Single,14977.0,8,No,1,Yes,,
2883,Penny Hill,22.0,Male,Finance,Analyst,High School,Married,4395.0,9,Yes,2,No,2021-04-02,
1289,Daniel Mcguire,32.0,Male,Sales,Consultant,Master,Single,11634.0,4,No,3,No,,
9205,Robert Norman,33.0,Female,Sales,Executive,Phd,Single,4408.0,11,Yes,3,No,2025-12-09,
5623,Michele Klein,52.0,Female,Finance,Consultant,Bachelor,Divorced,6175.0,2,Yes,5,No,,2014-02-19
1352,James Thompson,20.0,Male,It,Engineer,Master,Married,11706.0,4,No,3,Yes,,
1702,Devin Cole,54.0,Male,It,Engineer,Master,Single,4279.0,1,No,4,Yes,,
5940,Amber Adams,42.0,Female,It,Manager,Master,Divorced,11858.0,11,No,1,No,,
9104,Jonathan Perez,28.0,Male,R&D,Analyst,Master,Married,5467.0,4,No,3,Yes,,
1284,Colleen Owen,28.0,Female,Finance,Technician,Bachelor,Single,7963.0,0,No,1,Yes,,2019-05-05
8063,Danielle Schmitt,45.0,Male,Finance,Executive,Bachelor,Divorced,4979.0,9,No,2,Yes,,
2286,Megan Sanford,32.0,Female,Hr,Manager,Phd,Divorced,3081.0,8,No,2,Yes,,
9023,Kelly Rowe,52.0,Female,Finance,Technician,Phd,Single,2501.0,1,Yes,4,Yes,,2021-02-26
1718,Anita Carr,32.0,Female,It,Manager,Bachelor,Married,7787.0,1,No,5,Yes,,2023-05-23
4978,Joseph Holmes,36.0,Male,R&D,Manager,Phd,Married,9766.0,3,Yes,2,No,,
1548,Peter Williams,32.0,Female,Sales,Technician,Phd,Single,12468.0,10,Yes,1,No,2014-10-06,
7610,Dylan Nelson,50.0,Male,Sales,Consultant,Phd,Married,5983.0,3,Yes,3,No,,
5608,Jonathan Frey,42.0,Male,Hr,Executive,Bachelor,Single,11888.0,3,Yes,3,Yes,,
9891,Daniel Collins,45.0,Male,It,Technician,Bachelor,Single,10159.0,0,Yes,3,No,,
3994,Patrick Morris,48.0,Male,R&D,Consultant,Bachelor,Married,9923.0,7,Yes,2,No,,
2020,Maurice Gates,28.0,Male,It,Executive,High School,Divorced,7578.0,14,No,4,No,2022-05-10,
6189,Zachary Carter,55.0,Female,It,Executive,Phd,Single,9932.0,9,No,4,Yes,,
2637,Christina Rogers,35.0,Male,Finance,Manager,High School,Single,9791.0,1,No,5,No,2020-05-06,
9421,Christine Aguilar,50.0,Female,It,Executive,Phd,Married,7281.0,5,Yes,4,No,,
3146,Thomas Jones,58.0,Female,Sales,Manager,High School,Married,4656.0,8,No,2,Yes,,
3239,Laura Pace,40.0,Male,Hr,Executive,Master,Single,14344.0,4,No,4,Yes,2021-02-06,2025-06-02
6488,Brian Powell,42.0,Female,R&D,Technician,Phd,Divorced,13939.0,10,No,2,Yes,,
1419,Emily Barnes,57.0,Female,It,Consultant,Master,Divorced,2641.0,7,No,3,Yes,,
3187,Lindsey Love,30.0,Female,It,Executive,Phd,Divorced,13796.0,12,No,2,No,2020-10-09,
9538,Lee Craig,34.0,Male,It,Analyst,Master,Married,13158.0,4,No,3,Yes,,
4112,Jennifer Mcdonald,39.0,Female,R&D,Analyst,High School,Divorced,4460.0,7,Yes,1,Yes,,
5668,Grace Gardner,35.0,Female,Hr,Engineer,Bachelor,Single,9093.0,10,No,1,No,,
8690,Brian Burton,38.0,Male,Hr,Analyst,Master,Single,10289.0,5,Yes,1,No,2020-02-01,
8905,Mr. Tanner Thomas,32.0,Male,Sales,Engineer,High School,Single,5629.0,14,Yes,5,No,2019-08-12,
4566,Leonard Norman,45.0,Female,Finance,Executive,Bachelor,Married,6199.0,0,No,5,No,,
3933,Jose Hudson,45.0,Male,It,Engineer,Phd,Single,3436.0,1,Yes,2,No,,
1065,Kenneth Harrington,42.0,Male,Sales,Executive,Master,Divorced,5297.0,2,No,4,No,2025-06-04,2027-04-06
3332,Aaron Watkins,57.0,Male,R&D,Engineer,Master,Divorced,14337.0,5,Yes,1,No,,
4669,Jessica Irwin,33.0,Female,Sales,Consultant,High School,Married,11835.0,3,Yes,2,Yes,2013-02-02,
2273,Daniel Figueroa,28.0,Male,Hr,Consultant,Bachelor,Married,4217.0,8,Yes,4,No,2023-06-04,
6728,Timothy Pitts,47.0,Female,It,Engineer,High School,Divorced,11762.0,7,Yes,4,No,,2028-02-06
7122,Dylan Evans,44.0,Female,R&D,Engineer,Phd,Married,7083.0,8,Yes,1,No,,
9261,Michelle Stewart,49.0,Male,It,Analyst,High School,Divorced,10129.0,7,No,1,No,2023-04-11,
8323,Samantha House,54.0,Male,It,Technician,Phd,Divorced,6579.0,2,Yes,3,No,2016-06-04,
1885,Mary Novak,56.0,Female,It,Analyst,High School,Married,14697.0,1,Yes,3,No,2016-01-03,
3467,Marilyn Jimenez,21.0,Female,It,Analyst,Phd,Single,4996.0,4,Yes,2,Yes,,2015-08-27
6407,Michelle Doyle,50.0,Female,It,Executive,Bachelor,Married,6058.0,10,Yes,1,No,,
4987,Thomas Morgan,34.0,Female,Sales,Consultant,High School,Divorced,11635.0,7,Yes,5,No,,2030-06-14
2253,David Morales,25.0,Female,It,Technician,Phd,Married,9009.0,13,No,3,No,,
1735,Sean Thompson,23.0,Male,Finance,Manager,Master,Single,14113.0,5,Yes,2,No,2011-07-04,
9610,Kathleen Adams,36.0,Female,R&D,Technician,Bachelor,Single,11202.0,3,No,5,No,,
2502,Gerald Cruz,26.0,Female,Hr,Engineer,Phd,Single,13580.0,2,No,1,No,,
2694,Nancy Gomez,38.0,Male,Sales,Engineer,Phd,Single,4565.0,7,Yes,1,Yes,,
6191,Julie Thomas,29.0,Female,Sales,Consultant,Bachelor,Divorced,11927.0,4,Yes,4,Yes,,
2131,Vincent Stevens,30.0,Female,Finance,Executive,Phd,Divorced,14043.0,0,Yes,4,Yes,,
5338,Karen Medina,40.0,Female,It,Engineer,Phd,Single,14667.0,12,Yes,1,No,,
1911,Alexander Campbell,24.0,Male,Hr,Engineer,Master,Married,3429.0,5,No,3,No,,
5715,Robert Duncan,50.0,Male,Finance,Engineer,Master,Divorced,9274.0,0,Yes,4,No,,
5157,Timothy Martin,24.0,Male,Hr,Engineer,Master,Single,12033.0,9,No,3,No,,
9120,Michael Ruiz,29.0,Male,Hr,Consultant,Phd,Single,3928.0,8,Yes,2,Yes,,2025-06-26
2297,Angela Navarro,57.0,Female,Finance,Technician,Bachelor,Single,9381.0,6,Yes,4,No,,2028-01-15
3394,Colton Stone,27.0,Male,Hr,Manager,Bachelor,Single,14464.0,10,Yes,5,Yes,,
4063,Sergio Williams,41.0,Male,Finance,Manager,Bachelor,Married,5244.0,4,No,4,Yes,,
1998,Paul Johnson,36.0,Male,Sales,Executive,Phd,Single,5691.0,8,No,1,No,2020-09-02,
3078,Evan Vasquez,23.0,Male,It,Executive,Bachelor,Single,6505.0,1,Yes,4,No,,2022-08-15
